row_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
42,aa,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m. (Estimated)
43,aa,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
44,aa,AA-85-JFK-SFO,,3:36 p.m.,,6:43 p.m.
46,aa,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
49,aa,AA-59-JFK-SFO,7:10 a.m.,7:39 a.m.,10:45 a.m.,11:12 a.m.
51,helloflight,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,10:15 p.m. Dec 02,10:29 p.m.
53,helloflight,UA-397-JFK-SFO,8:00aDec 1,8:29 a.m.,11:55 a.m.,11:58 a.m.
55,helloflight,AA-1733-ORD-PHX,7:45 p.m. (Estimated runway),7:58 p.m.,10:30 p.m.,10:30 p.m.
56,helloflight,UA-2830-MCO-CLT,3:27 p.m.,3:27 p.m.,5:05 p.m.,5:17 p.m.
57,helloflight,CO-58-DEN-IAH,11:25 a.m.,11:32 a.m.,2:50 p.m.,3:31 p.m.
58,helloflight,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
60,helloflight,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
61,helloflight,UA-414-LAX-SFO,6:00 a.m.,5:56 a.m.,7:23 a.m.,7:17 a.m.
63,helloflight,UA-2726-FLL-PHL,4:00 p.m.,4:00 p.m.,6:46 p.m.,6:28 p.m.
65,helloflight,CO-1090-BOS-IAH,9:45 a.m.,10:20 a.m.,1:16 p.m. (Estimated),1:19 p.m.
71,helloflight,CO-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:03 p.m.,7:10 p.m.
72,helloflight,CO-1561-PHX-IAH,8:05 a.m.,8:00 a.m.,11:35 a.m.,11:32 a.m.
73,helloflight,UA-2314-ATL-PHL,2:55 p.m.,2:55 p.m.,5:00 p.m.,4:47 p.m.
75,helloflight,CO-1023-IAH-DEN,11:40 a.m.,11:56 a.m.,1:17 p.m.,1:14 p.m.
77,helloflight,UA-3050-PHX-CLT,11:05 a.m.,11:30 a.m.,4:57 p.m.,Not Available
78,helloflight,CO-89-IAH-EWR,6:00 a.m.,6:02 a.m.,10:20 a.m.,10:27 a.m.
83,helloflight,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:21 p.m.
86,helloflight,UA-2945-PHL-CLT,12:00 a.m.,3:11 a.m.,1:45 p.m.,1:15 p.m.
87,helloflight,CO-63-EWR-IAH,5:25 p.m.,5:22 p.m.,8:22 p.m.,8:03 p.m.
88,helloflight,CO-47-IAH-LAX,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
89,helloflight,AA-2050-ORD-MIA,,11:05 a.m.,2:45 p.m.,2:46 p.m.
90,helloflight,UA-248-PHX-ORD,12:57 p.m.,1:32 p.m.,5:15 p.m.,5:34 p.m.
92,helloflight,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
98,helloflight,CO-1193-EWR-MCO,9:15 a.m.,9:14 a.m.,12:18 p.m.,12:09 p.m.
100,helloflight,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
101,helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:40 p.m.,7:55 p.m.
102,helloflight,AA-2525-DFW-MIA,7:25 a.m.,7:39aDec 1,11:10 a.m.,11:06 a.m.
103,helloflight,UA-2906-PHL-MCO,3:50 p.m.,4:28 p.m.,6:23 p.m.,6:38 p.m.
106,helloflight,CO-16-LAX-EWR,10:25 a.m.,10:20 a.m.,6:44 p.m.,6:34 p.m.
107,helloflight,UA-2515-DFW-CLT,7:05aDec 1,7:31 a.m.,10:31 a.m.,10:47 a.m.
109,helloflight,UA-664-ORD-PHL,1:33 p.m.,1:31 p.m.,4:31 p.m.,4:23 p.m.
113,helloflight,UA-233-LAX-JFK,4:25 p.m.,4:25 p.m.,12:29 a.m.,12:29 a.m.
114,helloflight,AA-3823-LAX-DEN,9:00 p.m.,9:00 p.m.,12:15 a.m.,11:55 p.m.
121,helloflight,UA-6273-YYC-SFO,7:35 a.m.,7:48 a.m.,9:43 a.m.,8:45aDec 1
122,helloflight,UA-828-SFO-ORD,11:08 p.m.,11:08 p.m. (Estimated),5:11 a.m.,5:11 a.m. (Estimated)
123,helloflight,CO-4888-IAH-DAL,5:30 p.m.,5:30 p.m. (Estimated),,6:40 p.m.
124,helloflight,UA-858-PVG-SFO,1:45 p.m.,1:32 p.m.,8:27 a.m.,8:02 a.m.
125,helloflight,UA-2704-DTW-PHX,11:15aDec 1,11:15a.m.,1:40 p.m.,2:00 p.m.
127,helloflight,UA-2708-EWR-CLT,2:55 p.m.,2:55 p.m.,4:53 p.m.,4:44 p.m.
129,helloflight,UA-1500-IAH-GUA,8:55 a.m.,9:16 a.m.,11:45 a.m.,11:56 a.m.
130,helloflight,AA-3804-PHL-ORD,,2:45 p.m.,4:05 p.m. (Estimated),3:43 p.m.
131,helloflight,AA-1917-JFK-MCO,,3:27 p.m.,5:55 p.m.,5:43 p.m.
134,helloflight,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05aDec 1,10:53 a.m.
135,helloflight,UA-37-EDI-EWR,9:05 a.m.,8:52 a.m.,11:53 a.m.,12:09 p.m.
137,helloflight,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
139,helloflight,AA-3979-CVG-ORD,7:30 a.m.,8:04aDec 1,8:00 a.m.,8:06 a.m.
140,helloflight,AA-3786-IAH-ORD,4:00 p.m.,4:13 p.m.,6:40 p.m.,6:15 p.m. (Estimated)
142,helloflight,CO-50-CLE-EWR,2:55 p.m.,3:31 p.m.,4:49 p.m.,5:26 p.m.
143,helloflight,UA-3099-PHX-PHL,11:55 a.m.,11:55 a.m.,6:17 p.m.,5:38 p.m.
146,helloflight,CO-45-EWR-MIA,4:00 p.m.,3:58 p.m.,7:05 p.m.,6:36 p.m.
147,helloflight,AA-3809-PHX-LAX,6:00aDec 1,6:10aDec 1,6:40 a.m.,6:19aDec 1
153,boston,UA-397-JFK-SFO,8:00 a.m.,8:29 a.m.,11:55 a.m.,11:58 a.m.
157,boston,UA-2830-MCO-CLT,3:27 p.m.,3:27 p.m. (Estimated),5:05 p.m.,5:17 p.m.
159,boston,UA-5487-SFO-MRY,10:39 a.m.,10:33 a.m.,11:19 a.m.,11:21 a.m.
161,boston,UA-414-LAX-SFO,6:00 a.m.,5:56 a.m.,7:23 a.m.,
173,boston,UA-2314-ATL-PHL,2:55 p.m.,2:55 p.m.,5:00 p.m.,4:47 p.m.
175,boston,CO-1023-IAH-DEN,11:40 a.m.,11:56 a.m.,,
182,boston,UA-854-SFO-IAH,,7:49 a.m.,1:39 p.m.,Not Available
183,boston,UA-382-IAD-LAX,12:30PM,12:35 p.m.,3:19 p.m.,3:21 p.m. (Estimated)
186,boston,UA-2945-PHL-CLT,12:00 a.m.,3:11 a.m.,1:45 p.m.,1:15 p.m. (Estimated runway)
190,boston,UA-248-PHX-ORD,,1:32 p.m.,5:15 p.m.,5:30 p.m.
200,boston,AA-1007-MIA-PHX,4:35 p.m.,5:08 p.m. (Estimated),8:05 p.m.,7:55 p.m.
201,boston,UA-2906-PHL-MCO,3:50 p.m.,4:39 p.m.,6:23 p.m. Dec 02,6:38 p.m.
202,boston,UA-938-DEN-ORD,4:16 p.m.,4:15 p.m.,,7:30 p.m.
204,boston,CO-16-LAX-EWR,10:25aDec 1,10:20 a.m.,Not Available,6:34 p.m.
205,boston,UA-2515-DFW-CLT,7:05 a.m.,7:05 a.m.,10:31 a.m.,10:47 a.m.
210,boston,AA-1522-SFO-ORD,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
211,boston,UA-233-LAX-JFK,4:25 p.m.,4:25 p.m.,12:29 a.m.,12:29 a.m.
212,boston,AA-3823-LAX-DEN,9:00 p.m.,9:00 p.m.,12:15 a.m.,12:14 a.m.
216,boston,UA-3373-IAD-PHL,8:29 a.m.,8:26 a.m.,9:24 a.m.,9:13 a.m.
221,boston,CO-4888-IAH-DAL,5:30 p.m.,5:30 p.m.,Not Available,6:40 p.m.
222,boston,UA-858-PVG-SFO,1:45 p.m. Delayed,1:32 p.m.,8:27 a.m.,8:02 a.m.
223,boston,UA-2704-DTW-PHX,,11:15 a.m.,,2:00 p.m.
224,boston,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,9:20 p.m.,9:20 p.m.
228,boston,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
236,boston,AA-85-JFK-SFO,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
238,boston,AA-1544-SAN-ORD,11:25 a.m.,11:41 a.m.,5:25 p.m. (Estimated),4:56 p.m. (Estimated runway)
242,boston,CO-50-CLE-EWR,2:55 p.m.,3:31 p.m.,4:49 p.m.,5:26 p.m.
243,boston,UA-3099-PHX-PHL,11:55 a.m.,11:55 a.m.,6:17 p.m.,5:38 p.m.
250,weather,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40aDec 1,9:32 a.m.
256,weather,UA-2830-MCO-CLT,3:27 p.m.,3:27 p.m.,5:05 p.m.,5:17 p.m. (Estimated runway)
257,weather,CO-58-DEN-IAH,11:25 a.m.,11:43 a.m.,2:50 p.m.,3:31aDec 1
263,weather,UA-2726-FLL-PHL,4:00 p.m.,4:00 p.m.,6:46 p.m.,6:28 p.m.
265,weather,AA-3468-CVG-MIA,7:00 a.m.,7:25aDec 1,9:55 a.m.,9:45 a.m.
267,weather,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:35 p.m.,Contact Airline
268,weather,CO-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:03 p.m.,7:10 p.m.
271,weather,UA-3050-PHX-CLT,11:05 a.m.,11:30 a.m.,4:57 p.m.,5:05 p.m. (Estimated runway)
272,weather,CO-89-IAH-EWR,6:02 a.m.,6:02 a.m.,10:20 a.m.,10:27 a.m.
274,weather,AA-1886-BOS-MIA,10:45 a.m.,10:55aDec 1,2:20 p.m.,
287,weather,AA-4307-ORD-DTW,6:30 p.m.,6:56 p.m.,8:55 p.m.,8:53 p.m.
289,weather,CO-1694-LAX-IAH,7:15 p.m. (Estimated),7:15 p.m.,12:21 a.m.,12:21 a.m.
290,weather,UA-843-LAX-ORD,2:00 p.m. (Estimated runway),2:10 p.m.,7:53 p.m.,7:58 p.m. (Estimated)
295,weather,UA-938-DEN-ORD,4:16 p.m.,4:15 p.m.,7:23 p.m.,7:36aDec 1
300,weather,UA-664-ORD-PHL,1:33 p.m.,1:31 p.m.,4:17 p.m.,4:23 p.m. (Estimated)
308,weather,UA-3373-IAD-PHL,8:29 a.m.,8:26 a.m.,9:24 a.m.,9:13 a.m.
315,weather,UA-2708-EWR-CLT,2:55 p.m.,2:55 p.m.,4:53 p.m.,4:44 p.m.
316,weather,UA-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:00 p.m. Dec 02,7:10 p.m.
320,weather,UA-2314-ATL-PHL,2:55 p.m. (Estimated runway),2:55 p.m.,5:00 p.m.,4:47 p.m.
321,weather,AA-4277-CVG-JFK,12:10 p.m.,12:10 p.m.,,1:43 p.m.
328,weather,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:16 p.m.
329,weather,CO-50-CLE-EWR,2:55 p.m.,,4:49 p.m.,5:26 p.m.
333,weather,CO-45-EWR-MIA,4:00 p.m. (Estimated),3:59 p.m.,7:05 p.m.,6:36 p.m.
335,weather,AA-59-JFK-SFO,7:10 a.m.,7:58 a.m.,10:29 a.m.,11:12 a.m.
338,airtravelcenter,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m. (Estimated),10:15 p.m. Dec 02,10:29 p.m. (Estimated runway)
340,airtravelcenter,UA-397-JFK-SFO,8:00 a.m.,8:29 a.m.,11:55aDec 1,11:58 a.m.
346,airtravelcenter,UA-5487-SFO-MRY,10:39 a.m.,10:33 a.m.,11:19 a.m.,11:21 a.m.
347,airtravelcenter,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m. (Estimated),6:55 a.m.,6:55 a.m.
355,airtravelcenter,AA-3468-CVG-MIA,7:00aDec 1,7:25aDec 1,9:55 a.m.,9:44aDec 1
360,airtravelcenter,UA-2314-ATL-PHL,2:55 p.m.,3:16 p.m.,5:00 p.m.,Not Available
361,airtravelcenter,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:07 p.m.
371,airtravelcenter,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,1:40 p.m.,Not Available
375,airtravelcenter,CO-47-IAH-LAX,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
380,airtravelcenter,AA-1640-MIA-MCO,6:40 p.m.,6:30 p.m. (Estimated),7:15 p.m.,7:25 p.m.
383,airtravelcenter,CO-1694-LAX-IAH,7:15 p.m.,,12:21 a.m.,12:16 p.m.
385,airtravelcenter,CO-1193-EWR-MCO,9:15 a.m.,9:14 a.m.,12:18 p.m. (Estimated),12:09 p.m.
395,airtravelcenter,AA-400-DFW-JFK,10:40aDec 1,11:01 a.m.,,
397,airtravelcenter,AA-3756-ORD-SLC,12:15PM,12:41 p.m. (Estimated),2:45 p.m. Dec 02,2:50 p.m.
401,airtravelcenter,AA-3823-LAX-DEN,9:00 p.m. (Estimated),9:00 p.m.,12:15 a.m. Dec 02,12:15 a.m.
403,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,,10:04aDec 1
404,airtravelcenter,AA-431-MIA-SFO,8:35aDec 1,8:51 a.m.,11:42 a.m.,11:44 a.m.
407,airtravelcenter,CO-1250-MIA-IAH,Not Available,3:02 p.m. (Estimated),,4:59 p.m. (Estimated)
411,airtravelcenter,UA-858-PVG-SFO,1:45 p.m.,1:56 p.m.,,8:02 a.m.
412,airtravelcenter,UA-2704-DTW-PHX,11:00 a.m.,11:15 a.m.,1:15 p.m.,2:00 p.m.
413,airtravelcenter,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,,9:07 p.m.
415,airtravelcenter,UA-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:03 p.m. Dec 02,7:10 p.m.
416,airtravelcenter,UA-1500-IAH-GUA,8:55 a.m.,9:37 a.m.,11:45aDec 1,11:47 a.m.
421,airtravelcenter,AA-2957-DFW-CVG,7:55aDec 1,8:04 a.m.,11:05aDec 1,11:01aDec 1
426,airtravelcenter,AA-3979-CVG-ORD,7:30 a.m.,8:05 a.m.,7:52 a.m.,8:06 a.m.
429,airtravelcenter,CO-50-CLE-EWR,,3:31 p.m.,4:49 p.m.,5:26 p.m.
430,airtravelcenter,UA-3099-PHX-PHL,11:55aDec 1,11:55 a.m.,6:09 p.m.,5:38 p.m.
435,airtravelcenter,AA-59-JFK-SFO,7:10aDec 1,7:39 a.m.,10:45 a.m.,11:12 a.m.
445,flightview,CO-58-DEN-IAH,11:25aDec 1,11:32 a.m.,2:50 p.m.,3:31 p.m.
446,flightview,UA-5487-SFO-MRY,10:39 a.m.,10:33aDec 1,11:19 a.m.,11:21 a.m.
450,flightview,UA-2726-FLL-PHL,4:00 p.m.,4:00 p.m.,6:46 p.m.,6:23 p.m.
454,flightview,UA-3515-IAD-MSP,8:15 a.m.,8:12 a.m.,10:06 a.m.,9:56 a.m.
466,flightview,CO-1088-CLE-IAH,8:40 a.m.,8:40 a.m.,10:54 a.m.,10:56 a.m.
471,flightview,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
477,flightview,UA-248-PHX-ORD,12:57 p.m.,1:43 p.m.,5:15 p.m.,5:34 p.m.
488,flightview,UA-2906-PHL-MCO,3:50pm,4:28 p.m.,6:23 p.m.,6:38 p.m.
492,flightview,UA-2515-DFW-CLT,,7:26 a.m.,10:31 a.m.,10:47 a.m.
512,flightview,UA-2708-EWR-CLT,2:55 p.m. Dec 02,2:55 p.m.,4:53 p.m.,4:44 p.m. (Estimated runway)
513,flightview,UA-62-IAH-EWR,2:30 p.m.,2:48 p.m. (Estimated),7:03 p.m. Dec 02,7:10 p.m.
517,flightview,AA-2268-PHX-ORD,7:15 a.m.,7:22 a.m.,,11:06aDec 1
519,flightview,AA-2957-DFW-CVG,7:55 a.m.,8:04aDec 1,11:05 a.m.,11:01aDec 1
531,flightview,AA-4198-ORD-CLE,10:40aDec 1,10:54 a.m.,,12:50 p.m.
532,flightview,AA-404-MIA-MCO,,6:57 a.m.,7:45aDec 1,7:38 a.m.
533,flightview,CO-45-EWR-MIA,4:00 pm,3:58 p.m.,7:05 p.m. (Estimated),6:36 p.m.
598,flightstats,UA-233-LAX-JFK,4:14 p.m.,4:25 p.m.,12:29 a.m.,12:29 a.m. (Estimated)
618,flightstats,UA-854-SFO-IAH,7:53aDec 1,7:49 a.m.,1:39 p.m.,1:30 p.m.
637,panynj,CO-58-DEN-IAH,11:14 a.m.,11:32aDec 1,2:50 p.m.,3:00 p.m. (Estimated runway)
639,panynj,AA-204-LAX-MCO,11:25 p.m.,,6:55 a.m. (Estimated),
666,panynj,CO-63-EWR-IAH,5:25 p.m.,5:22 p.m.,,8:03 p.m.
667,panynj,CO-47-IAH-LAX,7:10 p.m. (Estimated),8:26 p.m.,,9:52 p.m.
679,panynj,AA-1007-MIA-PHX,,5:09 p.m.,8:05 p.m.,Not Available
681,panynj,UA-938-DEN-ORD,4:16PM Dec 01,4:15 p.m.,7:35 p.m. Dec 02,7:36 p.m.
689,panynj,AA-1522-SFO-ORD,,11:55 p.m.,5:50 a.m. (Estimated),5:48 a.m.
705,panynj,UA-62-IAH-EWR,2:30 p.m.,,7:03 p.m. Dec 02,7:10 p.m.
706,panynj,UA-1500-IAH-GUA,8:40 a.m.,9:16 a.m.,11:45aDec 1,11:55 a.m.
713,panynj,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m. (Estimated),,3:13 p.m.
729,flightexplorer,AA-3859-IAH-ORD,7:10 a.m.,7:17 a.m.,9:40aDec 1,9:32 a.m.
731,flightexplorer,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,10:15 p.m.,10:29 p.m.
733,flightexplorer,UA-3925-IAD-ORF,8:41aDec 1,8:43 a.m.,,9:43 a.m.
742,flightexplorer,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
746,flightexplorer,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
747,flightexplorer,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
751,flightexplorer,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:21 p.m.
758,flightexplorer,AA-1434-DFW-MCO,7:15 a.m.,7:21aDec 1,10:35 a.m.,10:36 a.m.
761,flightexplorer,CO-1193-EWR-MCO,9:15 a.m.,9:14 a.m.,12:18 p.m.,12:09 p.m.
762,flightexplorer,AA-3842-MSP-ORD,6:00 a.m.,6:56aDec 1,7:30aDec 1,7:50 a.m.
763,flightexplorer,AA-643-MIA-ORD,7:10aDec 1,7:30 a.m.,9:35 a.m.,9:31 a.m.
773,flightexplorer,AA-2312-DFW-DTW,8:25 p.m.,8:25 p.m.,11:50 p.m. Dec 02,11:50 p.m.
774,flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,,10:04 a.m.
775,flightexplorer,AA-431-MIA-SFO,8:35aDec 1,8:51 a.m.,11:50 a.m.,11:44 a.m.
788,flightexplorer,AA-4198-ORD-CLE,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:49 p.m.
793,mia,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
794,mia,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
795,mia,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
796,mia,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,10:59 a.m.,11:06 a.m.
802,dfw,AA-484-DFW-MIA,,4:48 p.m.,7:55 p.m.,7:39 p.m.
804,mco,AA-1917-JFK-MCO,2:55 p.m. (Estimated),3:27 p.m. (Estimated),5:55 p.m.,5:42 p.m.
808,mco,AA-1221-MCO-ORD,8:00 p.m. (Estimated),8:00 p.m.,9:45 p.m.,
809,mco,AA-1434-DFW-MCO,7:15 a.m.,7:46 a.m.,,10:36aDec 1
822,flights,UA-414-LAX-SFO,6:00aDec 1,6:00 a.m.,7:23aDec 1,7:17aDec 1
826,flights,CO-1090-BOS-IAH,9:45 a.m.,10:19aDec 1,1:16 p.m.,1:17 p.m.
843,flights,UA-854-SFO-IAH,7:53 a.m.,7:49aDec 1,12:50 p.m. (Estimated runway),1:26 p.m.
854,flights,AA-1640-MIA-MCO,6:00 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m. (Estimated)
863,flights,UA-938-DEN-ORD,,4:32 p.m.,7:25 p.m.,7:37 p.m.
867,flights,AA-400-DFW-JFK,10:39 a.m.,11:01 a.m.,,3:00 p.m.
886,flights,UA-2708-EWR-CLT,2:55 p.m. (Estimated),2:55 p.m. (Estimated),4:53 p.m.,4:44 p.m. (Estimated)
887,flights,UA-62-IAH-EWR,2:30pm,2:48 p.m.,7:03 p.m. Dec 02,
894,flights,UA-37-EDI-EWR,9:05aDec 1,8:52aDec 1,11:53 a.m.,12:09 p.m. (Estimated runway)
914,flightarrival,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m. (Estimated runway),1:35 p.m.,2:10 p.m.
915,flightarrival,UA-414-LAX-SFO,6:00aDec 1,,Not Available,7:17 a.m.
916,flightarrival,CO-1614-LAX-IAH,12:30 a.m.,12:41 a.m.,5:35aDec 2,5:15 a.m.
917,flightarrival,CO-52-IAH-LAX,7:35aDec 1,7:29aDec 1,,9:12 a.m.
931,flightarrival,AA-3-JFK-LAX,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
942,flightarrival,UA-233-LAX-JFK,4:25 p.m.,4:25 p.m. (Estimated),12:01 a.m.,12:29 a.m.
947,flightarrival,UA-828-SFO-ORD,11:08 p.m.,11:08 p.m.,5:11 a.m.,5:11 a.m. (Estimated)
958,flightarrival,AA-2957-DFW-CVG,,8:17 a.m.,11:05 a.m.,10:59 a.m.
965,flightarrival,AA-4198-ORD-CLE,10:40 a.m.,10:55 a.m.,12:55 p.m. Dec 02,12:49 p.m.
970,flightwise,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,7:21 a.m.,7:52 a.m.
982,flightwise,CO-47-IAH-LAX,7:10 p.m.,8:00 p.m.,8:56 p.m.,9:52 p.m.
991,travelocity,UA-397-JFK-SFO,8:00 a.m.,8:36 a.m.,11:55aDec 1,11:47 a.m.
994,travelocity,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m. (Estimated),7:25 p.m. (Estimated),7:25 p.m. (Estimated)
1003,travelocity,UA-3515-IAD-MSP,8:15 a.m.,8:12 a.m.,10:06aDec 1,9:56 a.m.
1016,travelocity,AA-616-DFW-DTW,9:05aDec 1,10:10 a.m.,12:35 p.m.,1:27 p.m.
1034,travelocity,UA-664-ORD-PHL,1:33 p.m.,1:31 p.m. (Estimated),4:31 p.m.,4:23 p.m.
1035,travelocity,AA-1522-SFO-ORD,11:55 p.m. Dec 02,11:55 p.m.,5:50 a.m.,5:50 a.m. (Estimated runway)
1036,travelocity,UA-233-LAX-JFK,4:25 p.m.,4:25 p.m.,12:29 a.m.,12:29 a.m.
1050,travelocity,UA-62-IAH-EWR,2:30 pm,2:48 p.m.,7:03 p.m.,7:01 p.m.
1052,travelocity,AA-1917-JFK-MCO,2:55 p.m. (Estimated),3:27 p.m.,5:55 p.m. (Estimated),5:43 p.m.
1071,foxbusiness,CO-1586-IAH-MCO,7:00 p.m. (Estimated),7:15 p.m.,Not Available,10:29 p.m.
1074,foxbusiness,UA-3925-IAD-ORF,8:41aDec 1,8:43 a.m.,10:08 a.m.,9:44 a.m.
