row_id,Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
356,tt1057500,Invictus,2009,11 December 2009 (USA),Clint Eastwood,"Anthony Peckham,John Carlin","Morgan Freeman,Matt Damon,Tony Kgoroge","Morgan Freeman,Matt Damon,Tony Kgoroge,Patrick Mofokeng,Matt Stern,Julian Lewis Jones,Adjoa Andoh,Marguerite Wheatley,Leleti Khumalo,Patrick Lyster,Penny Downie,Sibongile Nojila,Bonnie Henna,Shakes Myeko,Louis Minnaar","English,Afrikaans,Maori,Zulu,Xhosa,Southern Sotho",USA,134 min,7.4,115699.0,"252 user,302 critic","Biography,Drama,History",South Africa,"Nelson Mandela, in his first term as the South African President, initiates a unique venture to unite the apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup."
446,tt0023042,I Am a Fugitive from a Chain Gang,1932,19 November 1932 (USA),Mervyn LeRoy,"Robert E. Burns,Howard J. Green","Paul Muni,Glenda Farrell,Helen Vinson","Paul Muni,Glenda Farrell,Helen Vinson,Noel Francis,Preston Foster,Allen Jenkins,Berton Churchill,Edward Ellis,David Landau,Hale Hamilton,Sally Blane,Louise Carter,Willard Robertson,Robert McWade,Robert Warwick",English,USA,92 min,8.1,8717.0,"340 user,39 critic","Crime,Drama,Film-Noir","Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA","Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him."
466,tt0166924,Mulholland Dr.,2001,19 October 2001 (USA),David Lynch,David Lynch,"Naomi Watts,Laura Harring,Justin Theroux","Naomi Watts,Jeanne Bates,Dan Birnbaum,Laura Harring,Randall Wulff,Robert Forster,Brent Briscoe,Maya Bond,Patrick Fischler,Michael Cooke,Bonnie Aarons,Michael J. Anderson,Joseph Kearney,Enrique Buelna,Richard Mead","English,Spanish","France,USA",147 min,8.0,219415.0,"1,745 user,236 critic","Drama,Mystery,Thriller","387 South Main Street, Los Angeles, California, USA","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
494,tt3397754,"10,000 Saints",2015,14 August 2015 (USA),"Shari Springer Berman,Robert Pulcini","Shari Springer Berman,Eleanor Henderson","Ethan Hawke,Asa Butterfield,Hailee Steinfeld","Henry Kelemen,Julianne Nicholson,Ethan Hawke,Asa Butterfield,Avan Jogia,Nadia Alexander,Hailee Steinfeld,Emily Mortimer,Austin Ramsey,Jeff O'Donnell,Matthew James Ballinger,Emile Hirsch,Tracy Westmoreland,Warren Kelly,Ellie Bensinger",English,USA,113 min,6.0,1448.0,"7 user,23 critic","Comedy,Drama,Music","Ossining, New York, USA","Set in the 1980s, a teenager from Vermont moves to New York City to live with his father in East Village."
495,tt3346224,Zipper,2015,28 August 2015 (USA),Mora Stephens,"Mora Stephens,Mora Stephens","Patrick Wilson,Lena Headey,Ray Winstone","Patrick Wilson,Lena Headey,Ray Winstone,Richard Dreyfuss,John Cho,Dianna Agron,Christopher McDonald,Alexandra Breckenridge,Penelope Mitchell,Elena Satine,James Moses Black,Jim Shannon,Karan Chawla,Nick Foley,Kelton DuMont",English,USA,103 min,5.6,1585.0,"6 user,16 critic","Drama,Thriller","Louisiana, USA",A family man has it all until he risks losing everything due to his inability to fight off his obsessive temptation for other women.
507,tt0368891,National Treasure,2004,19 November 2004 (USA),Jon Turteltaub,"Jim Kouf,Cormac Wibberley","Nicolas Cage,Diane Kruger,Justin Bartha","Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Jon Voight,Harvey Keitel,Christopher Plummer,David Dayan Fisher,Stewart Finlay-McLennan,Oleg Taktarov,Stephen A. Pope,Annie Parisse,Mark Pellegrino,Armando Riesco,Erik King","English,Spanish",USA,131 min,6.9,239219.0,"685 user,191 critic","Action,Adventure,Mystery","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",A historian races to find the legendary Templar Treasure before a team of mercenaries.
519,tt0352248,Cinderella Man,2005,3 June 2005 (USA),Ron Howard,"Cliff Hollingsworth,Akiva Goldsman","Russell Crowe,Renée Zellweger,Craig Bierko","Russell Crowe,Renée Zellweger,Paul Giamatti,Craig Bierko,Paddy Considine,Bruce McGill,David Huband,Connor Price,Ariel Waller,Patrick Louis,Rosemarie DeWitt,Linda Kash,Nicholas Campbell,Gene Pyrz,Chuck Shamata",English,USA,144 min,8.0,140842.0,"524 user,200 critic","Biography,Drama,Sport","Distillery District, Toronto, Ontario, Canada","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s."
628,tt0343818,"I, Robot",2004,16 July 2004 (USA),Alex Proyas,"Jeff Vintar,Akiva Goldsman","Will Smith,Bridget Moynahan,Bruce Greenwood","Will Smith,Bridget Moynahan,Alan Tudyk,James Cromwell,Bruce Greenwood,Adrian Ricard,Chi McBride,Jerry Wasserman,Fiona Hogan,Peter Shinkoda,Terry Chen,David Haysom,Scott Heindl,Sharon Wilkins,Craig March",English,"USA,Germany",115 min,7.1,350813.0,"779 user,223 critic","Action,Mystery,Sci-Fi","Chicago, Illinois, USA","In 2035 a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
647,tt0097523,"Honey, I Shrunk the Kids",1989,23 June 1989 (USA),Joe Johnston,"Stuart Gordon,Brian Yuzna","Rick Moranis,Matt Frewer,Marcia Strassman","Rick Moranis,Matt Frewer,Marcia Strassman,Kristine Sutherland,Thomas Wilson Brown,Jared Rushton,Amy O'Neill,Robert Oliveri,Carl Steven,Mark L. Taylor,Kimmy Robertson,Lou Cutell,Laura Waterbury,Trevor Galtress,Martin Aylett",English,USA,93 min,6.2,97241.0,"68 user,26 critic","Adventure,Comedy,Family","Beverly Hills, California, USA",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
662,tt0098067,Parenthood,1989,2 August 1989 (USA),Ron Howard,"Lowell Ganz,Babaloo Mandel","Steve Martin,Mary Steenburgen,Dianne Wiest","Steve Martin,Mary Steenburgen,Dianne Wiest,Jason Robards,Rick Moranis,Tom Hulce,Martha Plimpton,Keanu Reeves,Harley Jane Kozak,Dennis Dugan,Joaquin Phoenix,Eileen Ryan,Helen Shaw,Jasen Fisher,Paul Linke",English,USA,124 min,7.0,34079.0,"117 user,46 critic","Comedy,Drama","Gainesville, Florida, USA","The Buckman family is a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."
677,tt0041373,Flamingo Road,1949,6 May 1949 (USA),Michael Curtiz,"Robert Wilder,Edmund H. North","Joan Crawford,Zachary Scott,Sydney Greenstreet","Joan Crawford,Zachary Scott,Sydney Greenstreet,David Brian,Gladys George,Virginia Huston,Fred Clark,Gertrude Michael,Alice White,Sam McDaniel,Tito Vuolo",English,USA,94 min,7.0,1564.0,"39 user,18 critic","Drama,Romance","Stage 28, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","Carnival dancer Lane Bellamy finds herself stranded in a southern town ruled by corrupt political boss Titus Semple. Lane becomes romantically involved with sheriff Fielding Carlisle, a ..."
697,tt0108399,True Romance,1993,10 September 1993 (USA),Tony Scott,Quentin Tarantino,"Christian Slater,Patricia Arquette,Dennis Hopper","Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,Gary Oldman,Brad Pitt,Christopher Walken,Bronson Pinchot,Samuel L. Jackson,Michael Rapaport,Saul Rubinek,Conchata Ferrell,James Gandolfini,Anna Levine,Victor Argo","English,Italian","USA,France",120 min,8.0,152212.0,"447 user,118 critic","Crime,Drama,Thriller","The Vista Theatre - 4473 Sunset Drive, Los Angeles, California, USA","Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it."
734,tt1650062,Super 8,2011,10 June 2011 (USA),J.J. Abrams,J.J. Abrams,"Elle Fanning,AJ Michalka,Kyle Chandler","Joel Courtney,Jessica Tuck,Joel McKinnon Miller,Ryan Lee,Zach Mills,Riley Griffiths,Gabriel Basso,Kyle Chandler,Ron Eldard,AJ Michalka,Andrew Miller,Jakob Miller,Jade Griffiths,Britt Flatmo,Elle Fanning",English,USA,112 min,7.1,268942.0,"835 user,530 critic","Mystery,Sci-Fi,Thriller","Agua Dulce, California, USA","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
768,tt0099582,Flatliners,1990,10 August 1990 (USA),Joel Schumacher,Peter Filardi,"Kiefer Sutherland,Kevin Bacon,Julia Roberts","Kiefer Sutherland,Julia Roberts,Kevin Bacon,William Baldwin,Oliver Platt,Kimberly Scott,Joshua Rudoy,Benjamin Mouton,Aeryk Egan,Kesha Reed,Hope Davis,Jim Ortlieb,John Duda,Megan Stewart,Tressa Thomas",English,USA,115 min,6.5,59073.0,"144 user,50 critic","Drama,Horror,Sci-Fi","Bensenville, Illinois, USA",Four Medical students experiment on 'near death' experiences that involve past tragedies until the dark consequences begin to jeopardize their lives.
819,tt1985966,Cloudy with a Chance of Meatballs 2,2013,27 September 2013 (USA),"Cody Cameron,Kris Pearn","Erica Rivinoja,John Francis Daley","Bill Hader,Anna Faris,Will Forte","Bill Hader,Anna Faris,James Caan,Will Forte,Andy Samberg,Benjamin Bratt,Neil Patrick Harris,Terry Crews,Kristen Schaal,Cody Cameron,Melissa Sturm,Kris Pearn,Craig Kellman,Khamani Griffin,Bridget Hoffman",English,USA,95 min,6.5,56815.0,"79 user,168 critic","Animation,Comedy,Family",,Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.
854,tt0118539,3 Ninjas: High Noon at Mega Mountain,1998,18 June 1998 (Australia),Sean McNamara,"Sean McNamara,Jeff Phillips","Loni Anderson,Hulk Hogan,Jim Varney","Hulk Hogan,Loni Anderson,Jim Varney,Mathew Botuchis,Michael O'Laskey II,James Paul Roeske II,Victor Wong,Alan McRae,Margarita Franco,Chelsey Earlywine,Lindsay Felton,Syntrell Ryder,Joseph Ackler,Brian Anglin,Kirk Baily",English,USA,93 min,2.7,8744.0,"70 user,6 critic","Action,Adventure,Comedy","Santa Cruz, California, USA","Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by ..."
881,tt2245084,Big Hero 6,2014,7 November 2014 (USA),"Don Hall,Chris Williams","Jordan Roberts,Robert L. Baird","Ryan Potter,Scott Adsit,Jamie Chung","Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Damon Wayans Jr.,Genesis Rodriguez,James Cromwell,Alan Tudyk,Maya Rudolph,Abraham Benrubi,Katie Lowes,Billy Bush,Daniel Gerson,Paul Briggs",English,USA,102 min,7.9,215340.0,"405 user,369 critic","Animation,Action,Adventure",,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
902,tt0054953,The Guns of Navarone,1961,22 June 1961 (USA),J. Lee Thompson,"Alistair MacLean,Carl Foreman","David Niven,Gregory Peck,Anthony Quinn","Gregory Peck,David Niven,Anthony Quinn,Stanley Baker,Anthony Quayle,James Darren,Irene Papas,Gia Scala,James Robertson Justice,Richard Harris,Bryan Forbes,Allan Cuthbertson,Michael Trubshawe,Percy Herbert,George Mikell","English,Greek,German","UK,USA",158 min,7.6,33850.0,"129 user,56 critic","Action,Adventure,Drama","Ile de Gorée, Dakar, Senegal",A British team is sent to cross occupied Greek territory and destroy the massive German gun emplacement that commands a key sea channel.
905,tt1080016,Ice Age: Dawn of the Dinosaurs,2009,1 July 2009 (USA),"Carlos Saldanha,Mike Thurmeier","Peter Ackerman,Michael Berg","Ray Romano,John Leguizamo,Denis Leary","Eunice Cho,Karen Disher,Harrison Fahn,Maile Flanagan,Jason Fricchione,Bill Hader,Kelly Keaton,Joey King,Queen Latifah,Denis Leary,Allegra Leguizamo,John Leguizamo,Lucas Leguizamo,Clea Lewis,Jane Lynch",English,USA,94 min,7.0,148748.0,"130 user,183 critic","Animation,Action,Adventure",,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
906,tt0441773,Kung Fu Panda,2008,6 June 2008 (USA),"Mark Osborne,John Stevenson","Jonathan Aibel,Glenn Berger","Jack Black,Ian McShane,Angelina Jolie","Jack Black,Dustin Hoffman,Angelina Jolie,Ian McShane,Jackie Chan,Seth Rogen,Lucy Liu,David Cross,Randall Duk Kim,James Hong,Dan Fogler,Michael Clarke Duncan,Wayne Knight,Kyle Gass,JR Reed",English,USA,92 min,7.6,271767.0,"348 user,257 critic","Animation,Action,Adventure",,"In the Valley of Peace, Po the Panda finds himself chosen as the Dragon Warrior despite the fact that he is obese and a complete novice at martial arts."
908,tt0298148,Shrek 2,2004,19 May 2004 (USA),"Andrew Adamson,Kelly Asbury","William Steig,Andrew Adamson","Mike Myers,Eddie Murphy,Cameron Diaz","Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,Antonio Banderas,John Cleese,Rupert Everett,Jennifer Saunders,Aron Warner,Kelly Asbury,Cody Cameron,Conrad Vernon,Christopher Knights,David P. Smith,Mark Moseley",English,USA,93 min,7.2,285559.0,"482 user,205 critic","Animation,Adventure,Comedy",,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.
912,tt1300854,Iron Man 3,2013,3 May 2013 (USA),Shane Black,"Drew Pearce,Shane Black","Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall,Jon Favreau,Ben Kingsley,James Badge Dale,Stephanie Szostak,Paul Bettany,William Sadler,Dale Dickey,Ty Simpkins,Miguel Ferrer,Xueqi Wang",English,"USA,China",130 min,7.3,498555.0,"1,170 user,598 critic","Action,Adventure,Sci-Fi","Cary, North Carolina, USA","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
925,tt1691917,Planes,2013,9 August 2013 (USA),Klay Hall,"John Lasseter,Klay Hall","Carlos Alazraqui,Dane Cook,Stacy Keach","Dane Cook,Stacy Keach,Brad Garrett,Teri Hatcher,Julia Louis-Dreyfus,Priyanka Chopra,John Cleese,Cedric the Entertainer,Carlos Alazraqui,Roger Craig Smith,Anthony Edwards,Val Kilmer,Sinbad,Gabriel Iglesias,Brent Musburger","English,Spanish",USA,91 min,5.7,32519.0,"112 user,167 critic","Animation,Adventure,Comedy",,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.
944,tt0068555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,31 January 1973 (West Germany),Woody Allen,"David Reuben,Woody Allen","Woody Allen,Gene Wilder,Louise Lasser","Woody Allen,John Carradine,Lou Jacobi,Louise Lasser,Anthony Quayle,Tony Randall,Lynn Redgrave,Burt Reynolds,Gene Wilder,Jack Barry,Erin Fleming,Elaine Giftos,Toni Holt,Robert Q. Lewis,Heather MacRae","English,Italian",USA,88 min,6.8,29182.0,"75 user,46 critic",Comedy,"Agoura, California, USA",Seven segments related to one another only in that they all purport to be based on sections of the book by David Reuben. The segments range from 'Do Aphrodisiacs Work?' in which a court ...
1007,tt0373051,Journey to the Center of the Earth,2008,11 July 2008 (USA),Eric Brevig,"Michael D. Weiss,Jennifer Flackett","Brendan Fraser,Josh Hutcherson,Anita Briem","Brendan Fraser,Josh Hutcherson,Anita Briem,Seth Meyers,Jean Michel Paré,Jane Wheeler,Frank Fontaine,Giancarlo Caltabiano,Kaniehtiio Horn,Garth Gilker","English,Icelandic,Italian",USA,93 min,5.8,77245.0,"210 user,201 critic","Action,Adventure,Family","Cité du Cinéma, Montréal, Québec, Canada","On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth."
1034,tt0114108,The Pebble and the Penguin,1995,11 April 1995 (USA),"Don Bluth,Gary Goldman","Rachel Koretsky,Steven Whitestone","Martin Short,James Belushi,Annie Golden","Martin Short,Annie Golden,James Belushi,Tim Curry,Alissa King,Stevie Vallance,Will Ryan,Neil Ross,Stan Jones,S. Scott Bullock,Philip L. Clarke,Shani Wallis,B.J. Ward,Hamilton Camp,Angeline Ball",English,"Ireland,USA",74 min,5.6,2814.0,"34 user,7 critic","Animation,Adventure,Comedy",,A lovable but introverted penguin named Hubie plans to present his betrothal pebble to the bird of his dreams.
1064,tt0488508,Arctic Tale,2007,17 August 2007 (USA),"Adam Ravetch,Sarah Robertson","Linda Woolverton,Mose Richards","Queen Latifah,Katrina Agate,Zain Ali","Queen Latifah,Katrina Agate,Zain Ali,Preston Bailey,Kwesi Boakye,Michael Huang,Sierra Marcoux,Dante Pastula,Peyton Pearson,Isabella Peschardt,Christina Robinson,Lili Sepe,Ke'ala Valencia",English,USA,96 min,7.0,1539.0,"20 user,78 critic","Documentary,Family",,"Two narratives -- the life cycle of a mother walrus and her calf, and the life of a polar bear and her cubs -- are used to illustrate the harsh realities of existence in the Arctic."
1083,tt0080461,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,30 May 1980 (USA),"Bill Melendez,Phil Roman","Charles M. Schulz,Charles M. Schulz","Scott Beach,Bill Melendez,Daniel Anderson","Daniel Anderson,Scott Beach,Casey Carlson,Debbie Muller,Patricia Patts,Laura Planting,Arrin Skelley,Bill Melendez,Annalisa Bortolin,Roseline Rubens,Pascale de Barolet",English,USA,75 min,7.3,1833.0,"21 user,1 critic","Animation,Comedy,Family",,Charlie Brown and his friends travel to Europe as exchange students.
1187,tt0800369,Thor,2011,6 May 2011 (USA),Kenneth Branagh,"Ashley Miller,Zack Stentz","Chris Hemsworth,Anthony Hopkins,Natalie Portman","Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård,Kat Dennings,Clark Gregg,Colm Feore,Idris Elba,Ray Stevenson,Tadanobu Asano,Josh Dallas,Jaimie Alexander,Rene Russo,Adriana Barraza",English,USA,115 min,7.0,478150.0,"729 user,507 critic","Action,Adventure,Fantasy","Galisteo, New Mexico, USA","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
1203,tt1392170,The Hunger Games,2012,23 March 2012 (USA),Gary Ross,"Gary Ross,Suzanne Collins","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth","Stanley Tucci,Wes Bentley,Jennifer Lawrence,Willow Shields,Liam Hemsworth,Elizabeth Banks,Sandra Ellis Lafferty,Paula Malcomson,Rhoda Griffis,Sandino Moya,Josh Hutcherson,Raiko Bowman,Dwayne Boyd,Anthony Reynolds,Judd Lormand",English,USA,142 min,7.3,645461.0,"1,932 user,661 critic","Adventure,Drama,Sci-Fi","Black Mountain, North Carolina, USA","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised fight to the death in which two teenagers from each of the twelve Districts of Panem are chosen at random to compete."
1237,tt0120915,Star Wars: Episode I - The Phantom Menace,1999,19 May 1999 (USA),George Lucas,George Lucas,"Ewan McGregor,Liam Neeson,Natalie Portman","Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd,Ian McDiarmid,Pernilla August,Oliver Ford Davies,Hugh Quarshie,Ahmed Best,Anthony Daniels,Kenny Baker,Frank Oz,Terence Stamp,Brian Blessed,Andy Secombe",English,USA,136 min,6.5,457317.0,"3,506 user,296 critic","Action,Adventure,Fantasy","CTV Services, Tunisia","Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to reclaim their old glory."
1306,tt0469903,The Express,2008,10 October 2008 (USA),Gary Fleder,"Charles Leavitt,Robert Gallagher","Rob Brown,Dennis Quaid,Clancy Brown","Rob Brown,Dennis Quaid,Darrin Dewitt Henson,Omar Benson Miller,Nelsan Ellis,Charles S. Dutton,Justin Martin,Justin Jones,Nicole Beharie,Aunjanue Ellis,Elizabeth Shivers,Clancy Brown,Danny McCarthy,Regina Hoyles,Chelcie Ross",English,"USA,Germany",130 min,7.3,15725.0,"44 user,85 critic","Biography,Drama,Sport","Berwyn, Illinois, USA","A drama based on the life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy."
1367,tt1415283,Nanny McPhee Returns,2010,20 August 2010 (USA),Susanna White,"Emma Thompson,Christianna Brand","Emma Thompson,Maggie Gyllenhaal,Ralph Fiennes","Maggie Gyllenhaal,Oscar Steer,Asa Butterfield,Lil Woods,Eros Vlahos,Rosie Taylor-Ritson,Daniel Mays,Rhys Ifans,Maggie Smith,Sinead Matthews,Katy Brand,Emma Thompson,Bill Bailey,Ewan McGregor,Sam Kelly",English,"UK,France,USA",109 min,6.0,17362.0,"57 user,96 critic","Comedy,Family,Fantasy","Hambleden, Buckinghamshire, England, UK","Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons."
